model,rule_id,n_eval,gold_na_skipped,pred_missing,pred_audit_error,pred_na_on_gold_applicable,primary_policy,audit_errors_excluded_from_primary
MiniMax-M2.1,H1,700,0,0,0,0,as_pass,True
MiniMax-M2.1,H2,700,0,0,0,1,as_pass,True
MiniMax-M2.1,H3,106,594,0,0,0,as_pass,True
MiniMax-M2.1,H4,700,0,0,0,1,as_pass,True
MiniMax-M2.1,H5,422,278,0,0,2,as_pass,True
MiniMax-M2.1,H6,700,0,0,0,9,as_pass,True
deepseek-v3.2-thinking,H1,700,0,0,0,0,as_pass,True
deepseek-v3.2-thinking,H2,700,0,0,0,0,as_pass,True
deepseek-v3.2-thinking,H3,106,594,0,0,0,as_pass,True
deepseek-v3.2-thinking,H4,700,0,0,0,0,as_pass,True
deepseek-v3.2-thinking,H5,422,278,0,0,2,as_pass,True
deepseek-v3.2-thinking,H6,700,0,0,0,0,as_pass,True
deterministic-baseline,H1,700,0,0,0,0,as_pass,True
deterministic-baseline,H2,700,0,0,0,0,as_pass,True
deterministic-baseline,H3,106,594,0,0,6,as_pass,True
deterministic-baseline,H4,700,0,0,0,0,as_pass,True
deterministic-baseline,H5,422,278,0,0,1,as_pass,True
deterministic-baseline,H6,700,0,0,0,0,as_pass,True
gemini-3-pro-preview-thinking,H1,700,0,0,0,0,as_pass,True
gemini-3-pro-preview-thinking,H2,700,0,0,0,0,as_pass,True
gemini-3-pro-preview-thinking,H3,106,594,0,0,0,as_pass,True
gemini-3-pro-preview-thinking,H4,700,0,0,0,0,as_pass,True
gemini-3-pro-preview-thinking,H5,422,278,0,0,2,as_pass,True
gemini-3-pro-preview-thinking,H6,700,0,0,0,0,as_pass,True
gpt-5.2,H1,700,0,0,0,0,as_pass,True
gpt-5.2,H2,700,0,0,0,0,as_pass,True
gpt-5.2,H3,106,594,0,0,0,as_pass,True
gpt-5.2,H4,700,0,0,0,0,as_pass,True
gpt-5.2,H5,422,278,0,0,2,as_pass,True
gpt-5.2,H6,700,0,0,0,0,as_pass,True
gpt-oss-120b,H1,700,0,0,0,0,as_pass,True
gpt-oss-120b,H2,700,0,0,0,0,as_pass,True
gpt-oss-120b,H3,106,594,0,0,0,as_pass,True
gpt-oss-120b,H4,700,0,0,0,0,as_pass,True
gpt-oss-120b,H5,422,278,0,0,1,as_pass,True
gpt-oss-120b,H6,700,0,0,0,0,as_pass,True
gpt-oss-20b,H1,700,0,0,0,0,as_pass,True
gpt-oss-20b,H2,700,0,0,0,0,as_pass,True
gpt-oss-20b,H3,106,594,0,0,0,as_pass,True
gpt-oss-20b,H4,700,0,0,0,0,as_pass,True
gpt-oss-20b,H5,422,278,0,0,1,as_pass,True
gpt-oss-20b,H6,700,0,0,0,0,as_pass,True
kimi-k2-thinking,H1,700,0,0,0,0,as_pass,True
kimi-k2-thinking,H2,700,0,0,0,0,as_pass,True
kimi-k2-thinking,H3,106,594,0,0,0,as_pass,True
kimi-k2-thinking,H4,700,0,0,0,0,as_pass,True
kimi-k2-thinking,H5,422,278,0,0,2,as_pass,True
kimi-k2-thinking,H6,700,0,0,0,0,as_pass,True
qwen3-235b-a22b-thinking-2507,H1,700,0,0,0,0,as_pass,True
qwen3-235b-a22b-thinking-2507,H2,700,0,0,0,0,as_pass,True
qwen3-235b-a22b-thinking-2507,H3,106,594,0,0,0,as_pass,True
qwen3-235b-a22b-thinking-2507,H4,700,0,0,0,0,as_pass,True
qwen3-235b-a22b-thinking-2507,H5,422,278,0,0,2,as_pass,True
qwen3-235b-a22b-thinking-2507,H6,700,0,0,0,0,as_pass,True
qwen3-30b-a3b-thinking-2507,H1,700,0,0,0,0,as_pass,True
qwen3-30b-a3b-thinking-2507,H2,700,0,0,0,0,as_pass,True
qwen3-30b-a3b-thinking-2507,H3,106,594,0,0,0,as_pass,True
qwen3-30b-a3b-thinking-2507,H4,700,0,0,0,0,as_pass,True
qwen3-30b-a3b-thinking-2507,H5,422,278,0,0,2,as_pass,True
qwen3-30b-a3b-thinking-2507,H6,700,0,0,0,0,as_pass,True
qwen3-next-80b-a3b-thinking,H1,700,0,0,0,0,as_pass,True
qwen3-next-80b-a3b-thinking,H2,700,0,0,0,0,as_pass,True
qwen3-next-80b-a3b-thinking,H3,106,594,0,0,1,as_pass,True
qwen3-next-80b-a3b-thinking,H4,700,0,0,0,0,as_pass,True
qwen3-next-80b-a3b-thinking,H5,422,278,0,0,2,as_pass,True
qwen3-next-80b-a3b-thinking,H6,700,0,0,0,0,as_pass,True
