release_case_id,model,rule_id,error_type,gold_status,pred_status,taxonomy_l1,taxonomy_l2,actionability,is_gold_disputed,is_case_ambiguous,use_as_example
pr_case_0002,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0005,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0006,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0007,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0009,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0013,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0014,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0015,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0029,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0045,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0057,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0058,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0059,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0062,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0071,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0072,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0073,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0081,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0087,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0091,qwen3-next-80b-a3b-thinking,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
