rank,model,macro_f1,micro_f1,evidence_in_text_rate,total_rule_pairs_eval,H1_f1,H2_f1,H3_f1,H4_f1,H5_f1,H6_f1
1,gemini-3-pro-preview-thinking,0.984,0.982,0.991,3328,0.988,0.971,1.000,0.968,1.000,0.979
2,kimi-k2-thinking,0.983,0.983,0.924,3328,1.000,0.962,1.000,0.980,0.985,0.970
3,qwen3-235b-a22b-thinking-2507,0.983,0.980,0.883,3328,0.988,0.976,1.000,0.964,0.990,0.979
4,deepseek-v3.2-thinking,0.982,0.983,0.821,3328,0.996,0.971,1.000,0.985,0.980,0.962
5,gpt-oss-120b,0.975,0.970,0.972,3328,0.996,0.967,1.000,0.941,1.000,0.946
6,gpt-oss-20b,0.973,0.968,0.986,3328,0.992,0.971,1.000,0.934,1.000,0.940
7,qwen3-next-80b-a3b-thinking,0.970,0.967,0.927,3328,1.000,0.976,0.995,0.961,1.000,0.891
8,qwen3-30b-a3b-thinking-2507,0.969,0.967,0.876,3328,0.980,0.976,1.000,0.973,1.000,0.888
9,MiniMax-M2.1,0.961,0.958,0.789,3328,0.988,0.967,1.000,0.943,0.948,0.921
10,gpt-5.2,0.871,0.771,0.887,3328,0.996,0.943,1.000,0.946,0.966,0.374
11,deterministic-baseline,0.813,0.893,1.000,3328,0.980,0.037,0.990,0.961,1.000,0.908
