release_case_id,model,rule_id,error_type,gold_status,pred_status,taxonomy_l1,taxonomy_l2,actionability,is_gold_disputed,is_case_ambiguous,use_as_example
pr_case_0041,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0045,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0049,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0052,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,1
pr_case_0055,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0058,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0060,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0063,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0067,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0069,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0070,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0073,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0075,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0078,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0082,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0085,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0087,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0088,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0092,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0094,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
pr_case_0095,deterministic-baseline,H2,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,H2 对“内镜所见”的最低要求偏宽（把结论性表述当作所见而误判 PASS）,rule_text,0,0,0
