model,rule,total_cases,gold_na_count,gold_applicable_count,pred_na_count_all,pred_na_rate_all,pred_na_count_on_gold_applicable,pred_na_rate_on_gold_applicable
MiniMax-M2.1,H1,700,0,700,0,0.000,0,0.000
MiniMax-M2.1,H2,700,0,700,1,0.001,1,0.001
MiniMax-M2.1,H3,700,594,106,574,0.820,0,0.000
MiniMax-M2.1,H4,700,0,700,1,0.001,1,0.001
MiniMax-M2.1,H5,700,278,422,273,0.390,2,0.005
MiniMax-M2.1,H6,700,0,700,9,0.013,9,0.013
deepseek-v3.2-thinking,H1,700,0,700,0,0.000,0,0.000
deepseek-v3.2-thinking,H2,700,0,700,0,0.000,0,0.000
deepseek-v3.2-thinking,H3,700,594,106,566,0.809,0,0.000
deepseek-v3.2-thinking,H4,700,0,700,0,0.000,0,0.000
deepseek-v3.2-thinking,H5,700,278,422,274,0.391,2,0.005
deepseek-v3.2-thinking,H6,700,0,700,0,0.000,0,0.000
deterministic-baseline,H1,700,0,700,0,0.000,0,0.000
deterministic-baseline,H2,700,0,700,0,0.000,0,0.000
deterministic-baseline,H3,700,594,106,600,0.857,6,0.057
deterministic-baseline,H4,700,0,700,0,0.000,0,0.000
deterministic-baseline,H5,700,278,422,276,0.394,1,0.002
deterministic-baseline,H6,700,0,700,0,0.000,0,0.000
gemini-3-pro-preview-thinking,H1,700,0,700,0,0.000,0,0.000
gemini-3-pro-preview-thinking,H2,700,0,700,0,0.000,0,0.000
gemini-3-pro-preview-thinking,H3,700,594,106,589,0.841,0,0.000
gemini-3-pro-preview-thinking,H4,700,0,700,0,0.000,0,0.000
gemini-3-pro-preview-thinking,H5,700,278,422,270,0.386,2,0.005
gemini-3-pro-preview-thinking,H6,700,0,700,0,0.000,0,0.000
gpt-5.2,H1,700,0,700,0,0.000,0,0.000
gpt-5.2,H2,700,0,700,0,0.000,0,0.000
gpt-5.2,H3,700,594,106,564,0.806,0,0.000
gpt-5.2,H4,700,0,700,0,0.000,0,0.000
gpt-5.2,H5,700,278,422,275,0.393,2,0.005
gpt-5.2,H6,700,0,700,0,0.000,0,0.000
gpt-oss-120b,H1,700,0,700,0,0.000,0,0.000
gpt-oss-120b,H2,700,0,700,0,0.000,0,0.000
gpt-oss-120b,H3,700,594,106,588,0.840,0,0.000
gpt-oss-120b,H4,700,0,700,0,0.000,0,0.000
gpt-oss-120b,H5,700,278,422,267,0.381,1,0.002
gpt-oss-120b,H6,700,0,700,0,0.000,0,0.000
gpt-oss-20b,H1,700,0,700,0,0.000,0,0.000
gpt-oss-20b,H2,700,0,700,0,0.000,0,0.000
gpt-oss-20b,H3,700,594,106,585,0.836,0,0.000
gpt-oss-20b,H4,700,0,700,0,0.000,0,0.000
gpt-oss-20b,H5,700,278,422,186,0.266,1,0.002
gpt-oss-20b,H6,700,0,700,0,0.000,0,0.000
kimi-k2-thinking,H1,700,0,700,0,0.000,0,0.000
kimi-k2-thinking,H2,700,0,700,0,0.000,0,0.000
kimi-k2-thinking,H3,700,594,106,574,0.820,0,0.000
kimi-k2-thinking,H4,700,0,700,0,0.000,0,0.000
kimi-k2-thinking,H5,700,278,422,271,0.387,2,0.005
kimi-k2-thinking,H6,700,0,700,0,0.000,0,0.000
qwen3-235b-a22b-thinking-2507,H1,700,0,700,0,0.000,0,0.000
qwen3-235b-a22b-thinking-2507,H2,700,0,700,0,0.000,0,0.000
qwen3-235b-a22b-thinking-2507,H3,700,594,106,573,0.819,0,0.000
qwen3-235b-a22b-thinking-2507,H4,700,0,700,0,0.000,0,0.000
qwen3-235b-a22b-thinking-2507,H5,700,278,422,261,0.373,2,0.005
qwen3-235b-a22b-thinking-2507,H6,700,0,700,0,0.000,0,0.000
qwen3-30b-a3b-thinking-2507,H1,700,0,700,0,0.000,0,0.000
qwen3-30b-a3b-thinking-2507,H2,700,0,700,0,0.000,0,0.000
qwen3-30b-a3b-thinking-2507,H3,700,594,106,594,0.849,0,0.000
qwen3-30b-a3b-thinking-2507,H4,700,0,700,0,0.000,0,0.000
qwen3-30b-a3b-thinking-2507,H5,700,278,422,270,0.386,2,0.005
qwen3-30b-a3b-thinking-2507,H6,700,0,700,0,0.000,0,0.000
qwen3-next-80b-a3b-thinking,H1,700,0,700,0,0.000,0,0.000
qwen3-next-80b-a3b-thinking,H2,700,0,700,0,0.000,0,0.000
qwen3-next-80b-a3b-thinking,H3,700,594,106,582,0.831,1,0.009
qwen3-next-80b-a3b-thinking,H4,700,0,700,0,0.000,0,0.000
qwen3-next-80b-a3b-thinking,H5,700,278,422,275,0.393,2,0.005
qwen3-next-80b-a3b-thinking,H6,700,0,700,0,0.000,0,0.000
