rank,model,macro_f1,micro_f1,evidence_in_text_rate,worst_rule,worst_rule_f1
1,gemini-3-pro-preview-thinking,0.984,0.982,0.991,H4,0.968
2,kimi-k2-thinking,0.983,0.983,0.924,H2,0.962
3,qwen3-235b-a22b-thinking-2507,0.983,0.980,0.883,H4,0.964
4,deepseek-v3.2-thinking,0.982,0.983,0.821,H6,0.962
5,gpt-oss-120b,0.975,0.970,0.972,H4,0.941
6,gpt-oss-20b,0.973,0.968,0.986,H4,0.934
7,qwen3-next-80b-a3b-thinking,0.970,0.967,0.927,H6,0.891
8,qwen3-30b-a3b-thinking-2507,0.969,0.967,0.876,H6,0.888
9,MiniMax-M2.1,0.961,0.958,0.789,H6,0.921
10,gpt-5.2,0.871,0.771,0.887,H6,0.374
11,deterministic-baseline,0.813,0.893,1.000,H2,0.037
