release_case_id,model,rule_id,error_type,gold_status,pred_status,taxonomy_l1,taxonomy_l2,actionability,is_gold_disputed,is_case_ambiguous,use_as_example
pr_case_0035,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,1
pr_case_0037,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0038,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,1
pr_case_0039,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0114,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0125,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0130,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0135,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0136,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0138,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
pr_case_0141,MiniMax-M2.1,H5,FP,PASS,FAIL,NUMERIC_REASONING,距离阈值/区间/正负方向推理错误（可用确定性数值校验替代）,parser,0,0,0
