release_case_id,model,rule_id,error_type,gold_status,pred_status,taxonomy_l1,taxonomy_l2,actionability,is_gold_disputed,is_case_ambiguous,use_as_example
pr_case_0007,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0043,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0059,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0061,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0068,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0077,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0110,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0113,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0116,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
pr_case_0145,gpt-oss-120b,H4,FN,FAIL,PASS,RULE_TRIGGER_BRANCH,触发/分支未触发或过宽 PASS（对缺失定位证据不敏感）,rule_text,0,0,0
