model_a,model_b,rule,n_evaluable,n01_a_wrong_b_right,n10_a_right_b_wrong,accuracy_a,accuracy_b,accuracy_delta_a_minus_b,f1_a,f1_b,f1_delta_a_minus_b,mcnemar_p_exact,bh_fdr_q_within_pair,significant_q_lt_0_05,pred_na_policy
MiniMax-M2.1,deepseek-v3.2-thinking,H1,700,2,0,0.995714,0.998571,-0.002857,0.987654,0.995918,-0.008264,0.500000,0.625000,no,as_pass
MiniMax-M2.1,deepseek-v3.2-thinking,H2,700,3,2,0.990000,0.991429,-0.001429,0.966507,0.971154,-0.004647,1.000000,1.000000,no,as_pass
MiniMax-M2.1,deepseek-v3.2-thinking,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,deepseek-v3.2-thinking,H4,700,22,4,0.965714,0.991429,-0.025714,0.942857,0.985149,-0.042291,0.000534,0.002668,yes,as_pass
MiniMax-M2.1,deepseek-v3.2-thinking,H5,422,10,3,0.973934,0.990521,-0.016588,0.947867,0.980392,-0.032525,0.092285,0.153809,no,as_pass
MiniMax-M2.1,deepseek-v3.2-thinking,H6,700,15,5,0.972857,0.987143,-0.014286,0.920502,0.962025,-0.041523,0.041389,0.103474,no,as_pass
MiniMax-M2.1,deterministic-baseline,H1,700,3,5,0.995714,0.992857,0.002857,0.987654,0.980080,0.007575,0.726563,0.726563,no,as_pass
MiniMax-M2.1,deterministic-baseline,H2,700,7,105,0.990000,0.850000,0.140000,0.966507,0.036697,0.929810,0.000000,0.000000,yes,as_pass
MiniMax-M2.1,deterministic-baseline,H3,106,0,2,1.000000,0.981132,0.018868,1.000000,0.990099,0.009901,0.500000,0.626877,no,as_pass
MiniMax-M2.1,deterministic-baseline,H4,700,22,13,0.965714,0.978571,-0.012857,0.942857,0.961440,-0.018582,0.175465,0.350930,no,as_pass
MiniMax-M2.1,deterministic-baseline,H5,422,11,0,0.973934,1.000000,-0.026066,0.947867,1.000000,-0.052133,0.000977,0.002930,yes,as_pass
MiniMax-M2.1,deterministic-baseline,H6,700,17,22,0.972857,0.965714,0.007143,0.920502,0.908397,0.012105,0.522397,0.626877,no,as_pass
MiniMax-M2.1,gemini-3-pro-preview-thinking,H1,700,0,0,0.995714,0.995714,0.000000,0.987654,0.987654,0.000000,,,no,as_pass
MiniMax-M2.1,gemini-3-pro-preview-thinking,H2,700,3,2,0.990000,0.991429,-0.001429,0.966507,0.970874,-0.004367,1.000000,1.000000,no,as_pass
MiniMax-M2.1,gemini-3-pro-preview-thinking,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,gemini-3-pro-preview-thinking,H4,700,22,11,0.965714,0.981429,-0.015714,0.942857,0.968370,-0.025513,0.080143,0.106858,no,as_pass
MiniMax-M2.1,gemini-3-pro-preview-thinking,H5,422,11,0,0.973934,1.000000,-0.026066,0.947867,1.000000,-0.052133,0.000977,0.001953,yes,as_pass
MiniMax-M2.1,gemini-3-pro-preview-thinking,H6,700,15,1,0.972857,0.992857,-0.020000,0.920502,0.978541,-0.058039,0.000519,0.001953,yes,as_pass
MiniMax-M2.1,gpt-5.2,H1,700,2,0,0.995714,0.998571,-0.002857,0.987654,0.995918,-0.008264,0.500000,0.625000,no,as_pass
MiniMax-M2.1,gpt-5.2,H2,700,2,7,0.990000,0.982857,0.007143,0.966507,0.943396,0.023111,0.179687,0.449219,no,as_pass
MiniMax-M2.1,gpt-5.2,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,gpt-5.2,H4,700,10,9,0.965714,0.967143,-0.001429,0.942857,0.945626,-0.002769,1.000000,1.000000,no,as_pass
MiniMax-M2.1,gpt-5.2,H5,422,11,7,0.973934,0.983412,-0.009479,0.947867,0.966184,-0.018316,0.480682,0.625000,no,as_pass
MiniMax-M2.1,gpt-5.2,H6,700,10,389,0.972857,0.431429,0.541429,0.920502,0.374214,0.546288,0.000000,0.000000,yes,as_pass
MiniMax-M2.1,gpt-oss-120b,H1,700,3,1,0.995714,0.998571,-0.002857,0.987654,0.995951,-0.008297,0.625000,1.000000,no,as_pass
MiniMax-M2.1,gpt-oss-120b,H2,700,3,3,0.990000,0.990000,0.000000,0.966507,0.966507,0.000000,1.000000,1.000000,no,as_pass
MiniMax-M2.1,gpt-oss-120b,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,gpt-oss-120b,H4,700,18,18,0.965714,0.965714,0.000000,0.942857,0.941176,0.001681,1.000000,1.000000,no,as_pass
MiniMax-M2.1,gpt-oss-120b,H5,422,11,0,0.973934,1.000000,-0.026066,0.947867,1.000000,-0.052133,0.000977,0.004883,yes,as_pass
MiniMax-M2.1,gpt-oss-120b,H6,700,14,8,0.972857,0.981429,-0.008571,0.920502,0.945607,-0.025105,0.286279,0.715697,no,as_pass
MiniMax-M2.1,gpt-oss-20b,H1,700,3,2,0.995714,0.997143,-0.001429,0.987654,0.991935,-0.004281,1.000000,1.000000,no,as_pass
MiniMax-M2.1,gpt-oss-20b,H2,700,3,2,0.990000,0.991429,-0.001429,0.966507,0.971154,-0.004647,1.000000,1.000000,no,as_pass
MiniMax-M2.1,gpt-oss-20b,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,gpt-oss-20b,H4,700,19,21,0.965714,0.962857,0.002857,0.942857,0.933673,0.009184,0.874629,1.000000,no,as_pass
MiniMax-M2.1,gpt-oss-20b,H5,422,11,0,0.973934,1.000000,-0.026066,0.947867,1.000000,-0.052133,0.000977,0.004883,yes,as_pass
MiniMax-M2.1,gpt-oss-20b,H6,700,15,10,0.972857,0.980000,-0.007143,0.920502,0.939655,-0.019153,0.424356,1.000000,no,as_pass
