case_id,source_class,synthetic_seed_id,is_original,is_perturbed,target_rule,case_filename,case_sha256
gold_0021,synthetic_original,mock_001,true,false,,data/synthetic_cases/gold_0021.md,caee62560096f5012c5e5c3f1d7057e23b57b9da59e0c6ee7fd052824e65ed08
gold_0022,synthetic_original,mock_002,true,false,,data/synthetic_cases/gold_0022.md,d2b3726972ea0997e53f58f396cfa755f3795d6ed805c1b1e1f979e2561e0efc
gold_0023,synthetic_original,mock_003,true,false,,data/synthetic_cases/gold_0023.md,e58f0e69165cfd216c2d879c26b62124fe5013d391652fc1ea6ca357fe630f3b
gold_0024,synthetic_original,mock_004,true,false,,data/synthetic_cases/gold_0024.md,a09ebda0295f531b5c618e448cec6da16cae46fbf018b02c98c4672e0722324e
gold_0025,synthetic_original,mock_005,true,false,,data/synthetic_cases/gold_0025.md,6f7f3276c5e68dc85afaed59cbce1e23fce15a03b6315740d5b38815bf605a50
gold_0026,synthetic_original,mock_006,true,false,,data/synthetic_cases/gold_0026.md,c1ea878efbb59f11213dd8b6ad86b1ccf5eb4fee2661fbfee2307469e3cc68ea
gold_0027,synthetic_original,mock_007,true,false,,data/synthetic_cases/gold_0027.md,26c2908cad5269f2a7776eee1521496891c07f75b5d3aefd4e1046a9480f30d3
gold_0028,synthetic_original,mock_008,true,false,,data/synthetic_cases/gold_0028.md,9ce71c3657d2f9778485e000aabb36b22bfd31774fd1c0fb1e9cc24e68df51b4
gold_0029,synthetic_original,mock_009,true,false,,data/synthetic_cases/gold_0029.md,0ae2708ef022f03470cfd021cfb63e8c80939f32078bc82f9e682d6e2443cc42
gold_0030,synthetic_original,mock_010,true,false,,data/synthetic_cases/gold_0030.md,a9c40796ec79f6e94051262a2ffb41248fade7343da8d69f164a6a69989877ef
gold_0031,synthetic_original,mock_011,true,false,,data/synthetic_cases/gold_0031.md,fedbd0204b710a1ba8fdd3b700e0c5beb59aae69a667ac6ceb215300fc6c0599
gold_0032,synthetic_original,mock_012,true,false,,data/synthetic_cases/gold_0032.md,06bd4a242b63d61c0dd352d52b4cf9ae2dd93c807b9629d2d40f4f12d0029cb0
gold_0033,synthetic_original,mock_013,true,false,,data/synthetic_cases/gold_0033.md,65877aeb60f4e280037e8f71a1a0b1dec2c051abe6d1718fd6904fe0cdcf1f66
gold_0034,synthetic_original,mock_014,true,false,,data/synthetic_cases/gold_0034.md,02f760a0325a2031eebfbfe1efe499f872151c97ef45d1da4c1056577c5578eb
gold_0035,synthetic_original,mock_015,true,false,,data/synthetic_cases/gold_0035.md,81d4a8d3b5970c18320ad9312117bc64eab557ba05eedbcd5a14f08919fb6616
gold_0036,synthetic_original,mock_016,true,false,,data/synthetic_cases/gold_0036.md,442a7381a974c7dfc49535d44db182e9da0d40c484923194be292f4912de96aa
gold_0037,synthetic_original,mock_017,true,false,,data/synthetic_cases/gold_0037.md,20fb26160b9360af500b57d3798a8f49d99ed78108564d4256dbec19213e6766
gold_0038,synthetic_original,mock_018,true,false,,data/synthetic_cases/gold_0038.md,c45f0584ae5ebb3a733be7550d84c11f304f1c5af5d3f6daa8684d56ce7700f9
