model,provider_family,model_identifier,api_rerun_supported_by_public_package,endpoint_reproducibility_note,run_json_files,run_dir_sha256,eval_json_sha256,prompt_source_sha256,prompt_language,temperature,top_p,max_tokens,pred_na_policy,exclude_audit_errors,total_rule_pairs_eval,macro_f1,micro_f1,evidence_in_text_rate,audit_error_rules,pred_missing_rules,pred_na_rules_on_gold_applicable,json_repair_policy,retry_policy
MiniMax-M2.1,openai_compatible_endpoint,MiniMax-M2.1,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,e39ab90bad18f762820f96a1d214dc302218b6a851c3d20c05e9b692f169d7f3,54329984a9a36fb15085f5a4718b84d6f1499f384d56eb144db5b9d1a61408e0,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.960898,0.958060,0.7894736842105263,0,0,13,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
deepseek-v3.2-thinking,openai_compatible_endpoint,deepseek-v3.2-thinking,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,5ac35c6612e126562369158dcf0d9af7af4917f453cf34e0ea24d35196cfab2f,63707faecbf0990b3df73cc87f2fa177fd8065abb52ebb141e05d2a2467e42ce,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.982440,0.982690,0.8213367609254498,0,0,2,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
deterministic-baseline,deterministic,deterministic-baseline,yes,deterministic local baseline,700,a9b598843742b364551f48c58bd5c465719bcfbcded6233598fd59b44bcf539e,6fd1dc4190d06dc5071a7f407cdc960484bd730b3a986c6ee91d41e6b22230f0,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.812785,0.893135,1.0,0,0,7,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
gemini-3-pro-preview-thinking,openai_compatible_endpoint,gemini-3-pro-preview-thinking,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,869efb08c993298a142f8572022bf53a0c46e5f3122c7b13361d059334bcd348,b8e01d825683a046e5f9004cb9e91b0dc0e77ae0f119f93a4228f8dceb6e2550,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.984240,0.981964,0.9910096818810512,0,0,2,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
gpt-5.2,openai_compatible_endpoint,gpt-5.2,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,29753ecb870bacb8c5977740bcc362c8756413e13d739bfe88c189db73c71f97,83e8c284ca9e5bacf31941f5d2f5cd8c87c0986f8d6a236ab9535007e45b7717,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.870890,0.771147,0.8870588235294118,0,0,2,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
gpt-oss-120b,openai_compatible_endpoint,gpt-oss-120b,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,ee6f8a2bdbc4776460792cb99b469cb0a48dad1f9d05d91790135cd32eea2bf9,27ea4b811636f34c4bcd80e09e40973a5660c7ea18793454adde1663f517cd90,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.974874,0.970139,0.9721463681048608,0,0,1,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
gpt-oss-20b,openai_compatible_endpoint,gpt-oss-20b,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,0b7b650d16814921a3ad54b110069f8c3c08de89408fb3783d36fafcd57a3906,3db10e15dc7645083de811d1da3c53fadd5fe8f4e6b698889d39b45334b37a81,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.972736,0.967655,0.9857712009106432,0,0,1,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
kimi-k2-thinking,openai_compatible_endpoint,kimi-k2-thinking,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,3d97bba769add7a39e760a1475773847575f6142490b3de656611a6779b13bab,898f8e24ebf358e6446224afbe72f0f41db9c497ab35a5c9fec6e291d712a851,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.982906,0.982667,0.9240997229916897,0,0,2,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
qwen3-235b-a22b-thinking-2507,openai_compatible_endpoint,qwen3-235b-a22b-thinking-2507,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,9e30f8ed77931600f57b0c3c34d65fa3f7614063abbb22b68a3218c4fa4e533f,efeff0b96672874240c3713b33fbf5a617c2b2bc8a50af717caa1146c1546ee5,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.982628,0.980027,0.8832684824902723,0,0,2,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
qwen3-30b-a3b-thinking-2507,openai_compatible_endpoint,qwen3-30b-a3b-thinking-2507,no_frozen_output_reproduction_only,provider endpoint and credentials are not included; hosted model versions may drift,700,04a0732d502503fad841490ca69f50feade64fa646868bf8c9cb2eaa0d2c41a3,ae41b93455ce95d26704960772e42ca8c97d55ae12e8d31926b378302cbb1a79,f79e92dd756336dfc0e14da5dc28c94027e0ee83c47796e6765ad2e7bf989e14,Chinese rule and note text; H4-H5 include short English disambiguation hints,0,not_reconstructed_from_frozen_outputs,not_reconstructed_from_frozen_outputs,as_pass,True,3328,0.969394,0.966688,0.8763440860215054,0,0,2,strict JSON repair step used when minor formatting errors occurred; per-repair counts not separately recorded in frozen outputs,not reconstructed from frozen outputs
